proto_lang	daughter_lang	family	daughter_is_proto	proto_ipa	daughter_ipa	raw
PIE	Proto-Hellenic	ie	True	kʲeːr	kərdiyaː	kərdíyā
PIE	Ancient Greek	ie	False	kʲeːr	καρδια	καρδία
PIE	Proto-Italic	ie	True	kʲeːr	kord	kord
PIE	Proto-Indo-Iranian	ie	True	kʲeːr	ȷʰaːrd	ȷ́ʰā́rd
PIE	Classical Armenian	ie	False	poːds	ոտն	ոտն
PIE	Proto-Celtic	ie	True	poːds	ɸuːts	ɸūts
PIE	Proto-Celtic	ie	True	poːds	ɸiːssu	ɸīssu
PIE	Proto-Celtic	ie	True	poːds	ɸodyaː	ɸodyā
PIE	Proto-Germanic	ie	True	poːds	foːts	fōts
PIE	Ancient Greek	ie	False	poːds	πους	πούς
PIE	Proto-Indo-Iranian	ie	True	poːds	paːts	pā́ts
PIE	Proto-Italic	ie	True	poːds	pets	pets
PIE	Tocharian A	ie	False	poːds	pe	pe
PIE	Tocharian B	ie	False	poːds	paiyye	paiyye
PIE	Proto-Balto-Slavic	ie	True	ɡʲombʰos	zambas	źámbas
PIE	Proto-Germanic	ie	True	ɡʲombʰos	kambaz	kambaz
PIE	Proto-Hellenic	ie	True	ɡʲombʰos	ɡompʰos	gómpʰos
PIE	Proto-Indo-Iranian	ie	True	ɡʲombʰos	ȷambʰas	ȷ́ámbʰas
PIE	Classical Armenian	ie	False	swekʲs	վեց	վեց
PIE	Proto-Balto-Slavic	ie	True	swekʲs	šeš	šéš
PIE	Proto-Celtic	ie	True	swekʲs	swexs	swexs
PIE	Proto-Germanic	ie	True	swekʲs	sehs	sehs
PIE	Proto-Hellenic	ie	True	swekʲs	hweks	hwéks
PIE	Proto-Indo-Iranian	ie	True	swekʲs	šwacš	šwáćš
PIE	Proto-Italic	ie	True	swekʲs	seks	seks
PIE	Tocharian A	ie	False	swekʲs	ṣäk	ṣäk
PIE	Tocharian B	ie	False	swekʲs	ṣkas	ṣkas
PIE	Classical Armenian	ie	False	kʲwoː	շուն	շուն
PIE	Classical Armenian	ie	False	kʲwoː	սկունդ	սկունդ
PIE	Proto-Balto-Slavic	ie	True	kʲwoː	kwoː	kwṓ
PIE	Proto-Celtic	ie	True	kʲwoː	kuː	kū
PIE	Proto-Germanic	ie	True	kʲwoː	hundaz	hundaz
PIE	Ancient Greek	ie	False	kʲwoː	κῠων	κῠ́ων
PIE	Proto-Indo-Iranian	ie	True	kʲwoː	cwaː	ćwā́
PIE	Latin	ie	False	kʲwoː	caneːs	canēs
